keypts1,match_points,filename1,filename2,matchpercent,keypts2
data1\S01_0.png,data1\S01_10.png,224,500,224,1.0
data1\S01_0.png,data1\S01_14.png,224,469,224,0.6396588486140725
data1\S01_0.png,data1\S01_15.png,224,460,224,0.6521739130434783
data1\S01_0.png,data1\S01_16.png,224,454,224,0.0
data1\S01_0.png,data1\S01_21.png,224,500,224,0.4
data1\S01_0.png,data1\S01_25.png,224,469,224,0.0
data1\S01_0.png,data1\S01_26.png,224,490,224,1.0204081632653061
data1\S01_0.png,data1\S01_27.png,224,500,224,0.6
data1\S01_0.png,data1\S01_28.png,224,475,224,0.8421052631578947
data1\S01_0.png,data1\S01_29.png,224,494,224,1.214574898785425
data1\S01_0.png,data1\S01_30.png,224,482,224,0.4149377593360996
data1\S01_0.png,data1\S01_31.png,224,500,224,0.2
data1\S01_0.png,data1\S01_33.png,224,500,224,1.0
data1\S01_0.png,data1\S01_35.png,224,452,224,0.4424778761061947
data1\S01_0.png,data1\S01_36.png,224,500,224,0.0
data1\S01_0.png,data1\S01_37.png,224,500,224,0.4
data1\S01_0.png,data1\S01_39.png,224,361,224,1.10803324099723
data1\S01_0.png,data1\S03_1.png,224,500,224,0.8
data1\S01_0.png,data1\S03_10.png,224,500,224,1.2
data1\S01_0.png,data1\S03_11.png,224,454,224,1.3215859030837005
data1\S01_0.png,data1\S03_12.png,224,435,224,0.6896551724137931
data1\S01_0.png,data1\S03_15.png,224,465,224,0.6451612903225806
data1\S01_0.png,data1\S03_18.png,224,500,224,0.0
data1\S01_0.png,data1\S03_22.png,224,410,224,0.4878048780487805
data1\S01_0.png,data1\S03_28.png,224,335,224,1.791044776119403
data1\S01_0.png,data1\S03_30.png,224,298,224,2.0134228187919465
data1\S01_0.png,data1\S03_36.png,224,298,224,0.33557046979865773
data1\S01_0.png,data1\S03_40.png,224,492,224,1.016260162601626
data1\S01_0.png,data1\S03_5.png,224,493,224,0.2028397565922921
data1\S01_0.png,data1\S03_6.png,224,500,224,0.4
data1\S01_0.png,data1\S03_7.png,224,458,224,1.3100436681222707
data1\S01_0.png,data1\S14_1.png,224,441,224,1.1337868480725624
data1\S01_0.png,data1\S14_11.png,224,388,224,0.25773195876288657
data1\S01_0.png,data1\S14_19.png,224,483,224,0.2070393374741201
data1\S01_0.png,data1\S14_2.png,224,500,224,0.2
data1\S01_0.png,data1\S14_21.png,224,500,224,0.6
data1\S01_0.png,data1\S14_24.png,224,500,224,1.0
data1\S01_0.png,data1\S14_25.png,224,428,224,1.1682242990654206
data1\S01_0.png,data1\S14_30.png,224,500,224,1.0
data1\S01_0.png,data1\S14_9.png,224,233,224,0.0
data1\S01_10.png,data1\S01_0.png,500,224,500,4.464285714285714
data1\S01_10.png,data1\S01_14.png,500,469,500,0.21321961620469082
data1\S01_10.png,data1\S01_15.png,500,460,500,0.43478260869565216
data1\S01_10.png,data1\S01_16.png,500,454,500,0.22026431718061673
data1\S01_10.png,data1\S01_21.png,500,500,500,1.2
data1\S01_10.png,data1\S01_25.png,500,469,500,0.42643923240938164
data1\S01_10.png,data1\S01_26.png,500,490,500,0.0
data1\S01_10.png,data1\S01_27.png,500,500,500,0.4
data1\S01_10.png,data1\S01_28.png,500,475,500,1.263157894736842
data1\S01_10.png,data1\S01_29.png,500,494,500,0.8097165991902834
data1\S01_10.png,data1\S01_30.png,500,482,500,0.2074688796680498
data1\S01_10.png,data1\S01_31.png,500,500,500,0.8
data1\S01_10.png,data1\S01_33.png,500,500,500,0.6
data1\S01_10.png,data1\S01_35.png,500,452,500,1.1061946902654867
data1\S01_10.png,data1\S01_36.png,500,500,500,1.2
data1\S01_10.png,data1\S01_37.png,500,500,500,0.2
data1\S01_10.png,data1\S01_39.png,500,361,500,1.9390581717451523
data1\S01_10.png,data1\S03_1.png,500,500,500,1.2
data1\S01_10.png,data1\S03_10.png,500,500,500,1.2
data1\S01_10.png,data1\S03_11.png,500,454,500,0.8810572687224669
data1\S01_10.png,data1\S03_12.png,500,435,500,0.22988505747126436
data1\S01_10.png,data1\S03_15.png,500,465,500,0.43010752688172044
data1\S01_10.png,data1\S03_18.png,500,500,500,0.8
data1\S01_10.png,data1\S03_22.png,500,410,500,0.4878048780487805
data1\S01_10.png,data1\S03_28.png,500,335,500,0.8955223880597015
data1\S01_10.png,data1\S03_30.png,500,298,500,0.6711409395973155
data1\S01_10.png,data1\S03_36.png,500,298,500,1.342281879194631
data1\S01_10.png,data1\S03_40.png,500,492,500,0.4065040650406504
data1\S01_10.png,data1\S03_5.png,500,493,500,0.8113590263691683
data1\S01_10.png,data1\S03_6.png,500,500,500,0.0
data1\S01_10.png,data1\S03_7.png,500,458,500,0.4366812227074236
data1\S01_10.png,data1\S14_1.png,500,441,500,0.22675736961451248
data1\S01_10.png,data1\S14_11.png,500,388,500,0.7731958762886598
data1\S01_10.png,data1\S14_19.png,500,483,500,0.4140786749482402
data1\S01_10.png,data1\S14_2.png,500,500,500,0.4
data1\S01_10.png,data1\S14_21.png,500,500,500,0.6
data1\S01_10.png,data1\S14_24.png,500,500,500,1.0
data1\S01_10.png,data1\S14_25.png,500,428,500,0.9345794392523364
data1\S01_10.png,data1\S14_30.png,500,500,500,0.4
data1\S01_10.png,data1\S14_9.png,500,233,500,0.8583690987124464
data1\S01_14.png,data1\S01_0.png,469,224,469,4.464285714285714
data1\S01_14.png,data1\S01_10.png,469,500,469,0.6
data1\S01_14.png,data1\S01_15.png,469,460,469,1.9565217391304348
data1\S01_14.png,data1\S01_16.png,469,454,469,0.0
data1\S01_14.png,data1\S01_21.png,469,500,469,0.2
data1\S01_14.png,data1\S01_25.png,469,469,469,2.1321961620469083
data1\S01_14.png,data1\S01_26.png,469,490,469,0.40816326530612246
data1\S01_14.png,data1\S01_27.png,469,500,469,0.2
data1\S01_14.png,data1\S01_28.png,469,475,469,0.8421052631578947
data1\S01_14.png,data1\S01_29.png,469,494,469,1.8218623481781377
data1\S01_14.png,data1\S01_30.png,469,482,469,0.2074688796680498
data1\S01_14.png,data1\S01_31.png,469,500,469,0.8
data1\S01_14.png,data1\S01_33.png,469,500,469,1.2
data1\S01_14.png,data1\S01_35.png,469,452,469,0.4424778761061947
data1\S01_14.png,data1\S01_36.png,469,500,469,1.4
data1\S01_14.png,data1\S01_37.png,469,500,469,1.0
data1\S01_14.png,data1\S01_39.png,469,361,469,1.3850415512465375
data1\S01_14.png,data1\S03_1.png,469,500,469,0.8
data1\S01_14.png,data1\S03_10.png,469,500,469,1.6
data1\S01_14.png,data1\S03_11.png,469,454,469,1.1013215859030836
data1\S01_14.png,data1\S03_12.png,469,435,469,0.6896551724137931
data1\S01_14.png,data1\S03_15.png,469,465,469,1.075268817204301
data1\S01_14.png,data1\S03_18.png,469,500,469,0.4
data1\S01_14.png,data1\S03_22.png,469,410,469,1.951219512195122
data1\S01_14.png,data1\S03_28.png,469,335,469,2.388059701492537
data1\S01_14.png,data1\S03_30.png,469,298,469,1.342281879194631
data1\S01_14.png,data1\S03_36.png,469,298,469,0.6711409395973155
data1\S01_14.png,data1\S03_40.png,469,492,469,1.829268292682927
data1\S01_14.png,data1\S03_5.png,469,493,469,0.6085192697768763
data1\S01_14.png,data1\S03_6.png,469,500,469,0.8
data1\S01_14.png,data1\S03_7.png,469,458,469,1.091703056768559
data1\S01_14.png,data1\S14_1.png,469,441,469,0.6802721088435374
data1\S01_14.png,data1\S14_11.png,469,388,469,0.5154639175257731
data1\S01_14.png,data1\S14_19.png,469,483,469,0.6211180124223602
data1\S01_14.png,data1\S14_2.png,469,500,469,1.2
data1\S01_14.png,data1\S14_21.png,469,500,469,1.0
data1\S01_14.png,data1\S14_24.png,469,500,469,0.2
data1\S01_14.png,data1\S14_25.png,469,428,469,0.0
data1\S01_14.png,data1\S14_30.png,469,500,469,1.2
data1\S01_14.png,data1\S14_9.png,469,233,469,2.575107296137339
data1\S01_15.png,data1\S01_0.png,460,224,460,4.464285714285714
data1\S01_15.png,data1\S01_10.png,460,500,460,0.6
data1\S01_15.png,data1\S01_14.png,460,469,460,1.279317697228145
data1\S01_15.png,data1\S01_16.png,460,454,460,0.8810572687224669
data1\S01_15.png,data1\S01_21.png,460,500,460,0.8
data1\S01_15.png,data1\S01_25.png,460,469,460,0.8528784648187633
data1\S01_15.png,data1\S01_26.png,460,490,460,0.8163265306122449
data1\S01_15.png,data1\S01_27.png,460,500,460,1.0
data1\S01_15.png,data1\S01_28.png,460,475,460,1.0526315789473684
data1\S01_15.png,data1\S01_29.png,460,494,460,1.0121457489878543
data1\S01_15.png,data1\S01_30.png,460,482,460,0.0
data1\S01_15.png,data1\S01_31.png,460,500,460,0.4
data1\S01_15.png,data1\S01_33.png,460,500,460,0.2
data1\S01_15.png,data1\S01_35.png,460,452,460,1.3274336283185841
data1\S01_15.png,data1\S01_36.png,460,500,460,0.6
data1\S01_15.png,data1\S01_37.png,460,500,460,1.2
data1\S01_15.png,data1\S01_39.png,460,361,460,2.770083102493075
data1\S01_15.png,data1\S03_1.png,460,500,460,0.8
data1\S01_15.png,data1\S03_10.png,460,500,460,1.4
data1\S01_15.png,data1\S03_11.png,460,454,460,0.44052863436123346
data1\S01_15.png,data1\S03_12.png,460,435,460,0.45977011494252873
data1\S01_15.png,data1\S03_15.png,460,465,460,0.8602150537634409
data1\S01_15.png,data1\S03_18.png,460,500,460,0.2
data1\S01_15.png,data1\S03_22.png,460,410,460,1.4634146341463414
data1\S01_15.png,data1\S03_28.png,460,335,460,0.8955223880597015
data1\S01_15.png,data1\S03_30.png,460,298,460,2.0134228187919465
data1\S01_15.png,data1\S03_36.png,460,298,460,1.0067114093959733
data1\S01_15.png,data1\S03_40.png,460,492,460,0.4065040650406504
data1\S01_15.png,data1\S03_5.png,460,493,460,2.636916835699797
data1\S01_15.png,data1\S03_6.png,460,500,460,0.8
data1\S01_15.png,data1\S03_7.png,460,458,460,1.091703056768559
data1\S01_15.png,data1\S14_1.png,460,441,460,0.6802721088435374
data1\S01_15.png,data1\S14_11.png,460,388,460,0.5154639175257731
data1\S01_15.png,data1\S14_19.png,460,483,460,0.2070393374741201
data1\S01_15.png,data1\S14_2.png,460,500,460,0.8
data1\S01_15.png,data1\S14_21.png,460,500,460,0.6
data1\S01_15.png,data1\S14_24.png,460,500,460,0.6
data1\S01_15.png,data1\S14_25.png,460,428,460,0.7009345794392523
data1\S01_15.png,data1\S14_30.png,460,500,460,0.6
data1\S01_15.png,data1\S14_9.png,460,233,460,2.1459227467811157
data1\S01_16.png,data1\S01_0.png,454,224,454,0.8928571428571429
data1\S01_16.png,data1\S01_10.png,454,500,454,0.4
data1\S01_16.png,data1\S01_14.png,454,469,454,0.6396588486140725
data1\S01_16.png,data1\S01_15.png,454,460,454,1.3043478260869565
data1\S01_16.png,data1\S01_21.png,454,500,454,0.6
data1\S01_16.png,data1\S01_25.png,454,469,454,1.0660980810234542
data1\S01_16.png,data1\S01_26.png,454,490,454,0.6122448979591837
data1\S01_16.png,data1\S01_27.png,454,500,454,1.0
data1\S01_16.png,data1\S01_28.png,454,475,454,1.4736842105263157
data1\S01_16.png,data1\S01_29.png,454,494,454,1.0121457489878543
data1\S01_16.png,data1\S01_30.png,454,482,454,0.6224066390041494
data1\S01_16.png,data1\S01_31.png,454,500,454,0.6
data1\S01_16.png,data1\S01_33.png,454,500,454,0.8
data1\S01_16.png,data1\S01_35.png,454,452,454,0.22123893805309736
data1\S01_16.png,data1\S01_36.png,454,500,454,0.0
data1\S01_16.png,data1\S01_37.png,454,500,454,1.2
data1\S01_16.png,data1\S01_39.png,454,361,454,0.8310249307479224
data1\S01_16.png,data1\S03_1.png,454,500,454,1.0
data1\S01_16.png,data1\S03_10.png,454,500,454,1.0
data1\S01_16.png,data1\S03_11.png,454,454,454,1.1013215859030836
data1\S01_16.png,data1\S03_12.png,454,435,454,0.9195402298850575
data1\S01_16.png,data1\S03_15.png,454,465,454,1.2903225806451613
data1\S01_16.png,data1\S03_18.png,454,500,454,2.6
data1\S01_16.png,data1\S03_22.png,454,410,454,1.7073170731707317
data1\S01_16.png,data1\S03_28.png,454,335,454,3.582089552238806
data1\S01_16.png,data1\S03_30.png,454,298,454,1.6778523489932886
data1\S01_16.png,data1\S03_36.png,454,298,454,1.342281879194631
data1\S01_16.png,data1\S03_40.png,454,492,454,0.8130081300813008
data1\S01_16.png,data1\S03_5.png,454,493,454,1.0141987829614605
data1\S01_16.png,data1\S03_6.png,454,500,454,1.2
data1\S01_16.png,data1\S03_7.png,454,458,454,1.091703056768559
data1\S01_16.png,data1\S14_1.png,454,441,454,1.1337868480725624
data1\S01_16.png,data1\S14_11.png,454,388,454,0.7731958762886598
data1\S01_16.png,data1\S14_19.png,454,483,454,1.0351966873706004
data1\S01_16.png,data1\S14_2.png,454,500,454,1.6
data1\S01_16.png,data1\S14_21.png,454,500,454,0.4
data1\S01_16.png,data1\S14_24.png,454,500,454,0.2
data1\S01_16.png,data1\S14_25.png,454,428,454,0.7009345794392523
data1\S01_16.png,data1\S14_30.png,454,500,454,1.4
data1\S01_16.png,data1\S14_9.png,454,233,454,3.8626609442060085
data1\S01_21.png,data1\S01_0.png,500,224,500,2.232142857142857
data1\S01_21.png,data1\S01_10.png,500,500,500,1.2
data1\S01_21.png,data1\S01_14.png,500,469,500,0.6396588486140725
data1\S01_21.png,data1\S01_15.png,500,460,500,1.0869565217391304
data1\S01_21.png,data1\S01_16.png,500,454,500,0.6607929515418502
data1\S01_21.png,data1\S01_25.png,500,469,500,1.492537313432836
data1\S01_21.png,data1\S01_26.png,500,490,500,1.2244897959183674
data1\S01_21.png,data1\S01_27.png,500,500,500,0.4
data1\S01_21.png,data1\S01_28.png,500,475,500,1.0526315789473684
data1\S01_21.png,data1\S01_29.png,500,494,500,1.0121457489878543
data1\S01_21.png,data1\S01_30.png,500,482,500,1.6597510373443984
data1\S01_21.png,data1\S01_31.png,500,500,500,1.0
data1\S01_21.png,data1\S01_33.png,500,500,500,1.0
data1\S01_21.png,data1\S01_35.png,500,452,500,1.3274336283185841
data1\S01_21.png,data1\S01_36.png,500,500,500,0.4
data1\S01_21.png,data1\S01_37.png,500,500,500,0.6
data1\S01_21.png,data1\S01_39.png,500,361,500,1.3850415512465375
data1\S01_21.png,data1\S03_1.png,500,500,500,0.6
data1\S01_21.png,data1\S03_10.png,500,500,500,0.2
data1\S01_21.png,data1\S03_11.png,500,454,500,0.8810572687224669
data1\S01_21.png,data1\S03_12.png,500,435,500,1.3793103448275863
data1\S01_21.png,data1\S03_15.png,500,465,500,1.075268817204301
data1\S01_21.png,data1\S03_18.png,500,500,500,1.0
data1\S01_21.png,data1\S03_22.png,500,410,500,0.7317073170731707
data1\S01_21.png,data1\S03_28.png,500,335,500,1.791044776119403
data1\S01_21.png,data1\S03_30.png,500,298,500,2.0134228187919465
data1\S01_21.png,data1\S03_36.png,500,298,500,1.0067114093959733
data1\S01_21.png,data1\S03_40.png,500,492,500,0.2032520325203252
data1\S01_21.png,data1\S03_5.png,500,493,500,0.4056795131845842
data1\S01_21.png,data1\S03_6.png,500,500,500,1.0
data1\S01_21.png,data1\S03_7.png,500,458,500,1.5283842794759825
data1\S01_21.png,data1\S14_1.png,500,441,500,1.3605442176870748
data1\S01_21.png,data1\S14_11.png,500,388,500,1.0309278350515463
data1\S01_21.png,data1\S14_19.png,500,483,500,1.2422360248447204
data1\S01_21.png,data1\S14_2.png,500,500,500,0.6
data1\S01_21.png,data1\S14_21.png,500,500,500,0.4
data1\S01_21.png,data1\S14_24.png,500,500,500,1.0
data1\S01_21.png,data1\S14_25.png,500,428,500,0.4672897196261682
data1\S01_21.png,data1\S14_30.png,500,500,500,0.8
data1\S01_21.png,data1\S14_9.png,500,233,500,0.4291845493562232
data1\S01_25.png,data1\S01_0.png,469,224,469,1.7857142857142858
data1\S01_25.png,data1\S01_10.png,469,500,469,0.2
data1\S01_25.png,data1\S01_14.png,469,469,469,1.0660980810234542
data1\S01_25.png,data1\S01_15.png,469,460,469,0.8695652173913043
data1\S01_25.png,data1\S01_16.png,469,454,469,1.1013215859030836
data1\S01_25.png,data1\S01_21.png,469,500,469,0.4
data1\S01_25.png,data1\S01_26.png,469,490,469,0.6122448979591837
data1\S01_25.png,data1\S01_27.png,469,500,469,0.8
data1\S01_25.png,data1\S01_28.png,469,475,469,1.0526315789473684
data1\S01_25.png,data1\S01_29.png,469,494,469,0.20242914979757085
data1\S01_25.png,data1\S01_30.png,469,482,469,1.037344398340249
data1\S01_25.png,data1\S01_31.png,469,500,469,0.6
data1\S01_25.png,data1\S01_33.png,469,500,469,0.8
data1\S01_25.png,data1\S01_35.png,469,452,469,0.4424778761061947
data1\S01_25.png,data1\S01_36.png,469,500,469,1.0
data1\S01_25.png,data1\S01_37.png,469,500,469,1.0
data1\S01_25.png,data1\S01_39.png,469,361,469,0.8310249307479224
data1\S01_25.png,data1\S03_1.png,469,500,469,0.4
data1\S01_25.png,data1\S03_10.png,469,500,469,0.6
data1\S01_25.png,data1\S03_11.png,469,454,469,0.6607929515418502
data1\S01_25.png,data1\S03_12.png,469,435,469,0.22988505747126436
data1\S01_25.png,data1\S03_15.png,469,465,469,0.43010752688172044
data1\S01_25.png,data1\S03_18.png,469,500,469,1.0
data1\S01_25.png,data1\S03_22.png,469,410,469,1.4634146341463414
data1\S01_25.png,data1\S03_28.png,469,335,469,1.1940298507462686
data1\S01_25.png,data1\S03_30.png,469,298,469,2.0134228187919465
data1\S01_25.png,data1\S03_36.png,469,298,469,2.348993288590604
data1\S01_25.png,data1\S03_40.png,469,492,469,0.8130081300813008
data1\S01_25.png,data1\S03_5.png,469,493,469,0.6085192697768763
data1\S01_25.png,data1\S03_6.png,469,500,469,1.4
data1\S01_25.png,data1\S03_7.png,469,458,469,1.3100436681222707
data1\S01_25.png,data1\S14_1.png,469,441,469,0.6802721088435374
data1\S01_25.png,data1\S14_11.png,469,388,469,1.5463917525773196
data1\S01_25.png,data1\S14_19.png,469,483,469,0.4140786749482402
data1\S01_25.png,data1\S14_2.png,469,500,469,0.0
data1\S01_25.png,data1\S14_21.png,469,500,469,0.8
data1\S01_25.png,data1\S14_24.png,469,500,469,1.0
data1\S01_25.png,data1\S14_25.png,469,428,469,1.4018691588785046
data1\S01_25.png,data1\S14_30.png,469,500,469,0.8
data1\S01_25.png,data1\S14_9.png,469,233,469,0.8583690987124464
data1\S01_26.png,data1\S01_0.png,490,224,490,1.7857142857142858
data1\S01_26.png,data1\S01_10.png,490,500,490,0.4
data1\S01_26.png,data1\S01_14.png,490,469,490,0.8528784648187633
data1\S01_26.png,data1\S01_15.png,490,460,490,0.6521739130434783
data1\S01_26.png,data1\S01_16.png,490,454,490,1.1013215859030836
data1\S01_26.png,data1\S01_21.png,490,500,490,0.4
data1\S01_26.png,data1\S01_25.png,490,469,490,1.279317697228145
data1\S01_26.png,data1\S01_27.png,490,500,490,0.6
data1\S01_26.png,data1\S01_28.png,490,475,490,0.8421052631578947
data1\S01_26.png,data1\S01_29.png,490,494,490,0.6072874493927125
data1\S01_26.png,data1\S01_30.png,490,482,490,0.6224066390041494
data1\S01_26.png,data1\S01_31.png,490,500,490,0.4
data1\S01_26.png,data1\S01_33.png,490,500,490,0.8
data1\S01_26.png,data1\S01_35.png,490,452,490,0.22123893805309736
data1\S01_26.png,data1\S01_36.png,490,500,490,0.4
data1\S01_26.png,data1\S01_37.png,490,500,490,0.6
data1\S01_26.png,data1\S01_39.png,490,361,490,0.8310249307479224
data1\S01_26.png,data1\S03_1.png,490,500,490,0.8
data1\S01_26.png,data1\S03_10.png,490,500,490,0.6
data1\S01_26.png,data1\S03_11.png,490,454,490,1.3215859030837005
data1\S01_26.png,data1\S03_12.png,490,435,490,0.45977011494252873
data1\S01_26.png,data1\S03_15.png,490,465,490,0.8602150537634409
data1\S01_26.png,data1\S03_18.png,490,500,490,0.4
data1\S01_26.png,data1\S03_22.png,490,410,490,1.7073170731707317
data1\S01_26.png,data1\S03_28.png,490,335,490,1.492537313432836
data1\S01_26.png,data1\S03_30.png,490,298,490,1.342281879194631
data1\S01_26.png,data1\S03_36.png,490,298,490,0.6711409395973155
data1\S01_26.png,data1\S03_40.png,490,492,490,0.2032520325203252
data1\S01_26.png,data1\S03_5.png,490,493,490,0.2028397565922921
data1\S01_26.png,data1\S03_6.png,490,500,490,0.2
data1\S01_26.png,data1\S03_7.png,490,458,490,1.5283842794759825
data1\S01_26.png,data1\S14_1.png,490,441,490,0.22675736961451248
data1\S01_26.png,data1\S14_11.png,490,388,490,0.25773195876288657
data1\S01_26.png,data1\S14_19.png,490,483,490,1.2422360248447204
data1\S01_26.png,data1\S14_2.png,490,500,490,1.0
data1\S01_26.png,data1\S14_21.png,490,500,490,0.8
data1\S01_26.png,data1\S14_24.png,490,500,490,0.6
data1\S01_26.png,data1\S14_25.png,490,428,490,0.9345794392523364
data1\S01_26.png,data1\S14_30.png,490,500,490,1.4
data1\S01_26.png,data1\S14_9.png,490,233,490,1.7167381974248928
data1\S01_27.png,data1\S01_0.png,500,224,500,4.464285714285714
data1\S01_27.png,data1\S01_10.png,500,500,500,0.8
data1\S01_27.png,data1\S01_14.png,500,469,500,1.9189765458422174
data1\S01_27.png,data1\S01_15.png,500,460,500,1.3043478260869565
data1\S01_27.png,data1\S01_16.png,500,454,500,1.7621145374449338
data1\S01_27.png,data1\S01_21.png,500,500,500,1.0
